sub_sector,quarter,lm_mean,finbert_mean,gpt_mean,n_companies,sector
Aerospace & Defense,2024Q1,0.12135636388017768,0.4000515241874103,0.29175268832171797,12,Industrials
Aerospace & Defense,2024Q2,0.14679207823147036,0.4270416937321373,0.32783452604298496,12,Industrials
Aerospace & Defense,2024Q3,0.1335042357651634,0.40593653911979194,0.27978798044221415,12,Industrials
Airlines,2023Q4,0.13584760203560842,0.44040688809129147,0.28091053638620506,3,Industrials
Airlines,2024Q1,0.13579773294180797,0.39615306794895216,0.24739171030731133,3,Industrials
Airlines,2024Q2,0.10552368894745456,0.3000993717465151,0.22939466032249536,3,Industrials
Airlines,2024Q3,0.12126063494249324,0.38292491330770634,0.3201742668754461,3,Industrials
Building Products & Equipment,2023Q4,0.21000960397257235,0.41498049961805605,0.3030209640990328,4,Industrials
Building Products & Equipment,2024Q1,0.17387861119512493,0.4442133377419462,0.32950861982054647,4,Industrials
Building Products & Equipment,2024Q2,0.18870799054357745,0.39687386621382487,0.30949975665965274,4,Industrials
Building Products & Equipment,2024Q3,0.1614435421124295,0.3657264144446313,0.30520613437893507,4,Industrials
Consulting Services,2023Q4,0.16527777777777777,0.32896329544018954,0.33194444444444443,1,Industrials
Consulting Services,2024Q1,0.15497076023391812,0.37105716595001387,0.3286549707602339,1,Industrials
Consulting Services,2024Q2,0.19228395061728396,0.44047222483937665,0.35185185185185186,1,Industrials
Consulting Services,2024Q3,0.20132924335378322,0.4126920923733501,0.35950920245398776,1,Industrials
Credit Services,2023Q4,0.18780103211009175,0.39411674620007053,0.307411123853211,2,Industrials
Credit Services,2024Q1,0.21169636617749826,0.4234867108241244,0.3583468104222821,2,Industrials
Credit Services,2024Q2,0.23408291103603604,0.47213685910950565,0.4058699324324324,2,Industrials
Credit Services,2024Q3,0.17906639928698753,0.4764247029561258,0.3689171122994652,2,Industrials
Electrical Equipment & Parts,2023Q4,0.18463990206011482,0.4113897101858677,0.29414893617021276,2,Industrials
Electrical Equipment & Parts,2024Q1,0.17838546217019047,0.44970766016564157,0.3514219694276573,2,Industrials
Electrical Equipment & Parts,2024Q2,0.20974868820767745,0.5200513623480847,0.38853907760287215,2,Industrials
Electrical Equipment & Parts,2024Q3,0.19568521756021756,0.40969371835578783,0.3413752913752914,2,Industrials
Engineering & Construction,2023Q4,0.16381461146826595,0.39058880168770155,0.2843491871731074,4,Industrials
Engineering & Construction,2024Q1,0.11770108336720178,0.3320608855125274,0.3025321326966064,4,Industrials
Engineering & Construction,2024Q2,0.13390287956870367,0.34159346746894226,0.2928596637481648,4,Industrials
Engineering & Construction,2024Q3,0.18028413992408557,0.39533703914023954,0.3538878105590062,4,Industrials
Farm & Heavy Construction Machinery,2023Q4,0.13021178039392975,0.47486265414125545,0.302836010376994,3,Industrials
Farm & Heavy Construction Machinery,2024Q1,0.11259417312048892,0.32539152044373676,0.2767314683104157,3,Industrials
Farm & Heavy Construction Machinery,2024Q2,0.1360948460238405,0.3310460428788506,0.21568627450980393,3,Industrials
Farm & Heavy Construction Machinery,2024Q3,0.14518893893893894,0.3191388241979297,0.21769894894894895,3,Industrials
Financial Data & Stock Exchanges,2023Q4,0.17359463662679242,0.4454311422275385,0.3351483781918565,4,Industrials
Financial Data & Stock Exchanges,2024Q1,0.1614186992603645,0.4080689561556663,0.30012225998890124,4,Industrials
Financial Data & Stock Exchanges,2024Q2,0.16862345960097336,0.4143644939159644,0.3386813974456272,4,Industrials
Financial Data & Stock Exchanges,2024Q3,0.16414961570419612,0.4789156917461729,0.3702464340119097,4,Industrials
Industrial Distribution,2023Q4,0.12607307102708226,0.2779529144995554,0.18717424629535004,2,Industrials
Industrial Distribution,2024Q1,0.14518970189701896,0.3220312849555397,0.18932249322493225,2,Industrials
Industrial Distribution,2024Q2,0.11607142857142858,0.2872899415255399,0.22163561076604554,2,Industrials
Industrial Distribution,2024Q3,0.15036979704162368,0.29261323555648494,0.19664602683178536,2,Industrials
Information Technology Services,2023Q4,0.27204301075268816,0.5318497296933445,0.4559139784946236,1,Industrials
Information Technology Services,2024Q1,0.3278856526429342,0.6060098733264699,0.47378640776699027,1,Industrials
Information Technology Services,2024Q2,0.27163721158566523,0.5972222979804597,0.3896907216494845,1,Industrials
Information Technology Services,2024Q3,0.29545454545454547,0.5837031455470644,0.44545454545454544,1,Industrials
Integrated Freight & Logistics,2023Q4,0.14347595892715276,0.30442984217253716,0.21335336947696498,4,Industrials
Integrated Freight & Logistics,2024Q1,0.19246059707064966,0.42597324108714874,0.3056222631409424,4,Industrials
Integrated Freight & Logistics,2024Q2,0.18757760524962142,0.47239532226626835,0.29441936984865025,4,Industrials
Integrated Freight & Logistics,2024Q3,0.17494193513930356,0.43805551875373394,0.30742469479311585,4,Industrials
Personal Services,2023Q4,0.23307291666666666,0.5692022468065261,0.328125,1,Industrials
Personal Services,2024Q1,0.2073170731707317,0.48309003050643495,0.35609756097560974,1,Industrials
Personal Services,2024Q2,0.20509259259259258,0.45588944372462314,0.37777777777777777,1,Industrials
Personal Services,2024Q3,0.25980392156862747,0.4691543948822929,0.3735294117647059,1,Industrials
Pollution & Treatment Controls,2023Q4,0.263768115942029,0.4445478576033012,0.2826086956521739,1,Industrials
Pollution & Treatment Controls,2024Q1,0.22641509433962265,0.4328018524596151,0.3886792452830189,1,Industrials
Pollution & Treatment Controls,2024Q2,0.25416666666666665,0.5149078739574179,0.41000000000000003,1,Industrials
Pollution & Treatment Controls,2024Q3,0.2400537634408602,0.49281023198648566,0.3774193548387097,1,Industrials
Railroads,2023Q4,0.20739013345145418,0.41173552028331273,0.27777725419234855,4,Industrials
